,importance
thalach,0.13876901518097998
oldpeak,0.11261470919064288
age,0.10215381964429535
chol,0.09290381189225637
trestbps,0.08942444805513666
thal_7,0.08334075720749151
cp_4.0,0.07584305528982807
exang,0.048626261147415584
slope_2.0,0.04520340655477375
sex,0.04236679224312693
ca_1,0.03809544505355884
cp_3.0,0.033576753245422364
cp_2.0,0.023377949292589597
restecg_2.0,0.022707523483337592
ca_2,0.014257857337446073
fbs,0.011767999340393189
ca_3,0.010924321059049245
thal_6,0.006134969381122063
slope_3.0,0.006056693223053114
thal_4,0.0010507751330978293
restecg_1.0,0.0008036370449828917
thal_5,0.0
